image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140CD,0.1250
test001_2.jpg,B2407UZO,UZO,0.6250
test001_3.jpg,B2842PKM,BMKM,0.6250
test002_1.jpg,BG1352AE,1352AE,0.2500
test003_1.jpg,B2634UZF,B2634UF,0.1250
test003_2.jpg,B1995JVK,JKL,0.8750
test004_1.jpg,B9062VEH,819300265,1.1250
test005_1.jpg,DD8798KM,LKM,0.7500
test006_1.jpg,T1329KC,17329KC,0.2857
test007_1.jpg,AD8865EE,AD8865,0.2500
test008_1.jpg,DK1157AAB,DKL11175AAAAB,0.5556
test008_2.jpg,AA1997FE,A1991F,0.3750
test009_1.jpg,H8518NA,H865109,0.5714
test009_2.jpg,K1649GB,KL1049,0.5714
test010_1.jpg,B9416PCN,B96410,0.6250
test010_2.jpg,H1147UY,HW1117VY,0.4286
test011_1.jpg,H1691IL,H1691IL,0.0000
test011_2.jpg,B9374RI,B932RI,0.2857
test011_3.jpg,D1204AIG,D1204AIA,0.1250
test012_1.jpg,E1887BA,E1897BA,0.1429
test013_1.jpg,B1439UZP,14360,0.6250
test013_2.jpg,B1128WOS,BW1123,0.6250
test014_1.jpg,B1388DFX,1387DFX,0.2500
test015_1.jpg,AD1798BT,AD1798,0.2500
test016_1.jpg,E1517DQ,1517DOL,0.4286
test017_1.jpg,AD8982FS,AD8902,0.3750
test018_1.jpg,L7603UA,76000312AJ,0.8571
test019_1.jpg,AD7HS,AD72HS,0.2000
test019_2.jpg,B1959WYK,WYK1965,1.1250
test020_1.jpg,AG8634EK,AGACG8602,0.8750
test020_2.jpg,AD1329PY,AD132880225,0.7500
test021_1.jpg,BA1709DW,BA1709DWW,0.1250
test021_2.jpg,W1236VZ,WW1234VZ,0.2857
test022_1.jpg,W1825OZ,WZ1825,0.4286
test022_2.jpg,L1202UE,L12020,0.2857
test022_3.jpg,L3823IB,L1382,0.5714
test023_1.jpg,B1730JLO,17304JLJ,0.3750
test024_1.jpg,B2964TRU,B20967,0.6250
test025_1.jpg,S5585LP,56071012LPP,1.2857
test025_2.jpg,L2858RR,L28059RD,0.4286
test025_3.jpg,W1185ZO,1965,0.7143
test025_4.jpg,9840VU,98400VU,0.1667
test026_1.jpg,N9652DF,9652DE,0.2857
test026_2.jpg,L3836ZX,383606XZX,0.5714
test027_1.jpg,N1905IG,N19605,0.4286
test027_2.jpg,B1109CLR,B1101,0.5000
test027_3.jpg,L1840AA,L1840,0.2857
test028_1.jpg,L1438EO,1438,0.4286
test028_2.jpg,L1436AAA,L1438AAA,0.1250
test029_1.jpg,W1518WF,NW1516,0.5714
test029_2.jpg,G1986N,G1960,0.3333
test029_3.jpg,L1588OO,1680,0.7143
test029_4.jpg,L1436AAA,1436AAA,0.1250
test030_1.jpg,S8062NF,800622NFS,0.5714
test030_2.jpg,G1894TE,1894,0.4286
test031_1.jpg,L1560JQ,15600,0.4286
test031_2.jpg,L1568QO,1608,0.7143
test031_3.jpg,L1932AAZ,L1932AAA,0.1250
test032_1.jpg,B2754SKY,B21765SKY,0.3750
test032_2.jpg,W1192K,WL1302K,0.5000
test033_1.jpg,L4561VK,4501VV,0.4286
test033_2.jpg,L2693GA,C1871C,1.0000
test033_3.jpg,W9847G,8764,1.0000
test033_4.jpg,L1762ABJ,LV7621AAB,0.5000
test034_1.jpg,L1811SU,L1811S,0.1429
test034_2.jpg,W1167VO,W187V,0.4286
test034_3.jpg,S6131OCF,S6151A,0.5000
test034_4.jpg,L2570AAD,L2570AD,0.1250
test035_1.jpg,L9643NN,90623,0.7143
test035_2.jpg,L5247GI,52712131415161718192021222324,3.7143
test035_3.jpg,L2498AAM,L2739AM,0.5000
test035_4.jpg,W1696YO,WW16966YO,0.2857
test036_1.jpg,B1231JJA,JA1231JA,0.3750
test036_2.jpg,B1618UAE,D168880826,1.0000
test037_1.jpg,L1775VO,1776V,0.4286
test037_2.jpg,L300RX,LX300RX,0.1667
test037_3.jpg,L1879VG,L1876,0.4286
test038_1.jpg,D1523YCN,YN16232,0.7500
test038_2.jpg,L1877ACU,1877AUAC,0.5000
test039_1.jpg,L1069VK,1069,0.4286
test040_1.jpg,S1595LL,1590,0.5714
test041_1.jpg,B1231JJA,123456,0.6250
test042_1.jpg,AD1174SF,17142SE,0.7500
test043_1.jpg,W1898YW,WW1898,0.4286
test043_2.jpg,W1470PG,WMW1404,0.7143
test044_1.jpg,L1930KF,1930KLF,0.2857
test044_2.jpg,N1004HE,NH104HE,0.2857
test045_1.jpg,S1347LJ,SL,0.7143
test046_1.jpg,L1470ABK,L1470AAB,0.2500
test046_2.jpg,L1265MX,L1267MX,0.1429
test047_1.jpg,N1524SY,NY15234SY,0.2857
test047_2.jpg,L1678ACE,L1678ACE,0.0000
test048_1.jpg,L9316BC,L9318BC,0.1429
test048_2.jpg,W1838AY,W1838AY,0.0000
test049_1.jpg,N1376DE,NORTHDEL,0.7143
test049_2.jpg,N79AP,N79N,0.4000
test050_1.jpg,L1265OF,1265,0.4286
test050_2.jpg,N1095G,10654,0.5000
test051_1.jpg,N1718HC,NH1718HC,0.1429
test052_1.jpg,N6497KS,6478KS,0.4286
test052_2.jpg,N5235ABX,N5233ABY,0.2500
test052_3.jpg,N4980KJ,49800KJL,0.4286
test053_1.jpg,N1365AAO,NN13065AAA,0.3750
test054_1.jpg,N1077AAK,1076AAK,0.2500
test054_2.jpg,N1084AAO,1087AAA,0.3750
test055_1.jpg,N1610KS,1609KS,0.4286
test056_1.jpg,N924CIA,N927CIA,0.1429
test056_2.jpg,N1623HB,1623HB,0.1429
test056_3.jpg,L1430HF,1430,0.4286
test057_1.jpg,N1342T,NM1342T,0.1667
test057_2.jpg,N4145AB,NK1645AAD,0.5714
test057_3.jpg,N1396AAH,NM13906AAA,0.3750
test058_1.jpg,N3153ACB,N3131564AAB,0.6250
test058_2.jpg,N5829KJ,56829,0.5714
test058_3.jpg,N1780JL,NM17800JL,0.2857
test059_1.jpg,W8774PA,W874PA,0.1429
test059_2.jpg,B9162FXU,B910721623,0.8750
test060_1.jpg,L1846JE,LJ,0.7143
test060_2.jpg,M1457ITA,14657ATA,0.3750
test061_1.jpg,AA1971KJ,AA1971KJ,0.0000
test061_2.jpg,BD1146DH,BDH146,0.3750
test062_1.jpg,B9654PEU,B9654,0.3750
test062_2.jpg,AE7244S,AE72145S,0.2857
test063_1.jpg,S1208BI,1208BI,0.1429
test064_1.jpg,AE8137G,AE81170,0.2857
test065_1.jpg,H1706SW,HW1706SW,0.1429
test066_1.jpg,T1220HS,1220,0.4286
test066_2.jpg,H1790ZY,HY1790,0.4286
test067_1.jpg,L1855BR,1856BR,0.2857
test067_2.jpg,AB1274EV,AB1274EV,0.0000
test068_1.jpg,B2310UZS,2301UZS,0.3750
test068_2.jpg,G1264CM,G1264,0.2857
test069_1.jpg,AA1138AK,AA1380BAK,0.3750
test070_1.jpg,B2160TOB,B2160166,0.3750
test070_2.jpg,B2597BYK,25907BYK,0.2500
test071_1.jpg,G9545AG,G9546AGA,0.2857
test072_1.jpg,BG1870IB,18700,0.5000
test073_1.jpg,T1187HB,1987,0.5714
test073_2.jpg,A1330FP,A1304,0.4286
test074_1.jpg,G1368GE,1368,0.4286
test074_2.jpg,B1081CMR,1080CMR,0.2500
test075_1.jpg,G2474XZ,620125678123426,2.1429
test075_2.jpg,G9173BP,9173BP,0.1429
test075_3.jpg,7066OF,1980,1.1667
test076_1.jpg,G2151ASF,61230171123456789,1.7500
test076_2.jpg,E500MA,500MAINST,0.8333
test076_3.jpg,G4689SN,460899SN,0.4286
test077_1.jpg,G1754QZ,617020,0.7143
test078_1.jpg,H1413DH,HK1413,0.4286
test079_1.jpg,T1688GY,1680,0.5714
test079_2.jpg,A1260AJ,AJ,0.7143
test080_1.jpg,D77HSB,77HSB,0.1667
test080_2.jpg,B1861TOI,B1861,0.3750
test080_3.jpg,D1160ADE,1160ADE,0.1250
test081_1.jpg,F8097BD,80907DD,0.5714
test081_2.jpg,F1992AM,F1987,0.5714
test082_1.jpg,E1824YZ,1824YZ,0.1429
test082_2.jpg,B9093UEX,B90305,0.5000
test083_1.jpg,F5052AAE,F50572AAE,0.1250
test083_2.jpg,F5452CQ,F56521010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,94.5714
test084_1.jpg,B1158PYP,1806YPRP,0.8750
test084_2.jpg,B1242VOY,123456VY,0.6250
test085_1.jpg,B1315KIF,BJD13456,0.7500
test085_2.jpg,B2938FVJ,2036VJL,0.6250
test085_3.jpg,B2560SKZ,B20600SKZ,0.2500
test086_1.jpg,B1291NOJ,123456,0.7500
test086_2.jpg,B1556NRC,1560NRC,0.3750
test087_1.jpg,B6823WXR,B60823WRXR,0.2500
test087_2.jpg,B6317NXK,6317177NK,0.6250
test087_3.jpg,F2215FCQ,F21515,0.5000
test087_4.jpg,4039NHR,40539399HR,0.5714
test088_1.jpg,B2190TYB,BJD219060,0.6250
test088_2.jpg,B1902VKA,VLA,0.7500
test089_1.jpg,D8609N,60899,0.6667
test089_2.jpg,A8406ZE,A84060501ZE,0.5714
test089_3.jpg,B1246KRK,B1234512346,1.1250
test090_1.jpg,T9314E,9314,0.3333
test090_2.jpg,N9579U,NN0579UL,0.5000
test091_1.jpg,B2910KZW,B29010KW,0.2500
test091_2.jpg,B9721KXV,B97201,0.5000
test092_1.jpg,B1104AAA,AAA,0.6250
test092_2.jpg,T1579FN,1560,0.7143
test092_3.jpg,B2346POC,234605,0.5000
test093_1.jpg,B2026BIU,2021,0.6250
test094_1.jpg,G1255EJ,1256EJ,0.2857
test095_1.jpg,B1201KAD,1201KAD,0.1250
test095_2.jpg,B2310JUK,B23140,0.5000
test095_3.jpg,B28YHH,YHV,0.6667
test096_1.jpg,B1354COJ,1354COJ,0.1250
test096_2.jpg,B1502NRO,B1500202NRO,0.3750
test097_1.jpg,B1650NOG,16500,0.5000
test097_2.jpg,B6354SVL,6354SVL,0.1250
test098_1.jpg,B1779DOB,1770DDB,0.3750
test099_1.jpg,B2017PBQ,072517092017,1.3750
test099_2.jpg,B1892WZT,1890WZT,0.2500
test100_1.jpg,B1071PRG,B101711071,1.0000
test100_2.jpg,B2134PZJ,8213,0.6250
